,score,rank
331,-0.9484,1008
292,-0.9484,1009
291,-0.9484,1010
290,-0.9484,1011
894,-0.9484,1012
946,-0.9484,1013
947,-0.9484,1014
478,-0.9484,1015
948,-0.9484,1016
949,-0.9484,1017
950,-0.9484,1018
954,-0.9484,1019
892,-0.9484,1020
891,-0.9484,1021
838,-0.9484,1022
837,-0.9484,1023
300,-0.9484,1024
334,-0.9484,1025
945,-0.9484,1026
895,-0.9484,1027
939,-0.9484,1028
931,-0.9484,1029
932,-0.9484,1030
935,-0.9484,1031
936,-0.9484,1032
937,-0.9484,1033
938,-0.9484,1034
700,-0.9484,1035
319,-0.9484,1036
940,-0.9484,1037
896,-0.9484,1038
771,-0.9484,1039
772,-0.9484,1040
773,-0.9484,1041
941,-0.9484,1042
942,-0.9484,1043
943,-0.9484,1044
774,-0.9484,1045
775,-0.9484,1046
479,-0.9484,1047
