vehicle_id,route_id,time_step,speed,co_emission,co2_emission,nox_emission,fuel_consumption
7,!7,78,11.7279,19.0811,3507.3275,1.1691,1106.0969
5,!5,79,4.7553,0.1538,1543.8672,0.585,523.2421
6,!6,79,22.0113,0.0002,0.0003,0.0002,-0.0004
7,!7,79,11.2405,0.0002,-0.0003,-0.0006,0.0001
5,!5,80,5.3357,2.0283,2078.8435,0.7129,664.7106
6,!6,80,22.4693,82.0501,5733.8112,2.4085,1901.0199
7,!7,80,11.7499,22.4882,3794.994,1.3554,1262.8091
8,!8,80,12.8729,6.5683,1962.6172,0.7139,666.498
5,!5,81,6.6803,11.3534,4057.3815,1.1427,1318.2703
6,!6,81,19.8747,0.0,-0.0003,-0.0,0.0
7,!7,81,11.037,-0.0005,0.0004,0.0001,0.0003
8,!8,81,12.8983,3.4443,1600.4206,0.6351,560.9135
5,!5,82,8.401,25.0573,5383.1813,1.6425,1775.9393
6,!6,82,15.3584,0.0004,0.0001,-0.0001,-0.0002
7,!7,82,7.4863,0.0003,-0.0001,-0.0004,0.0001
8,!8,82,12.5904,-0.0002,-0.0001,-0.0002,-0.0002
5,!5,83,9.8593,29.0017,5293.8641,1.7186,1647.3406
6,!6,83,10.7613,0.0002,0.0001,-0.0001,-0.0005
7,!7,83,5.7332,-0.0009,-0.0004,0.0006,0.0007
8,!8,83,9.898,0.0005,-0.0008,0.0005,0.0001
5,!5,84,12.4599,66.0706,8175.5522,2.5765,2553.1543
6,!6,84,6.4606,-0.0001,0.0008,0.0004,0.0006
7,!7,84,4.9172,0.0002,-0.0006,0.0003,0.0001
8,!8,84,5.306,-0.0011,0.0001,-0.0003,0.0003
5,!5,85,14.7231,102.3851,10204.6488,3.8147,3424.1858
6,!6,85,5.5912,-0.0001,0.0004,-0.0,-0.0005
7,!7,85,4.8877,0.0004,1453.7675,0.6034,448.3343
8,!8,85,7.8492,27.6291,6598.4738,1.8148,2025.3239
5,!5,86,16.6759,84.6346,7713.815,2.8111,2523.5808
6,!6,86,6.7224,10.0486,3403.9765,1.0847,1145.6914
7,!7,86,7.1056,24.2817,5714.6013,1.6645,1911.6334
8,!8,86,9.0586,29.5475,5451.5287,1.6771,1847.2623
5,!5,87,18.1832,153.3125,11595.8709,5.0169,3822.5937
6,!6,87,8.0822,17.8924,4545.9524,1.4006,1468.4656
7,!7,87,9.3181,39.2776,7022.1255,2.2925,2245.9338
8,!8,87,11.5495,51.5973,7170.2629,2.3668,2299.6098
5,!5,88,21.4469,200.0232,13491.1717,5.7259,4465.1395
6,!6,88,10.3424,42.502,6305.0448,2.247,2213.5755
7,!7,88,11.491,44.9787,6253.8516,2.138,2114.9933
8,!8,88,11.5265,35.5194,5070.2278,1.7511,1640.5752
5,!5,89,22.6736,210.7257,13198.4431,5.4074,4339.4408
6,!6,89,11.5139,45.2075,6312.9485,2.1189,2105.7205
7,!7,89,12.0796,9.9932,2504.9809,0.8707,797.7488
8,!8,89,10.5173,0.0002,-0.0006,-0.0004,-0.0
5,!5,90,22.0142,18.3019,2289.981,0.8588,695.1706
6,!6,90,14.6487,84.2652,8963.2996,3.2459,2852.5166
7,!7,90,10.8767,0.2539,1428.4655,0.5372,461.5175
8,!8,90,6.1504,0.0011,-0.0008,0.0003,0.0003
9,!9,90,12.2195,5.0977,1919.5873,0.6717,625.5268
5,!5,91,22.8833,57.2555,4820.6518,1.7929,1467.771
6,!6,91,16.2528,132.3126,11708.9337,4.2926,3723.4571
7,!7,91,11.5339,7.1648,2074.4179,0.7571,687.5159
8,!8,91,8.8317,36.2888,7006.487,2.1108,2235.0223
9,!9,91,11.3438,-0.0,-0.0005,-0.0003,-0.0001
