route_id,speed,bus_count,message_count
468,20,2,8
467,27,1,16
466,29,1,10
465,29,1,14
464,-1,0,0
463,-1,0,0
460,-1,0,0
459,-1,0,0
458,40,2,4
457,33,1,1
456,31,1,9
289,-1,0,0
288,-1,0,0
287,-1,0,0
286,-1,0,0
285,-1,0,0
284,-1,0,0
283,-1,0,0
282,-1,0,0
281,-1,0,0
280,-1,0,0
279,-1,0,0
278,27,1,12
277,-1,0,0
276,-1,0,0
275,-1,0,0
274,26,2,6
273,24,1,11
251,24,1,9
250,-1,0,0
249,-1,0,0
248,-1,0,0
247,26,1,1
1283,-1,0,0
1282,-1,0,0
1281,-1,0,0
611,47,2,3
610,55,1,2
609,-1,0,0
608,-1,0,0
572,-1,0,0
571,-1,0,0
570,-1,0,0
569,29,1,11
568,31,1,6
567,34,2,5
566,-1,0,0
565,-1,0,0
564,-1,0,0
563,-1,0,0
560,-1,0,0
559,-1,0,0
558,-1,0,0
557,-1,0,0
556,-1,0,0
555,26,1,6
554,23,1,1
553,-1,0,0
552,-1,0,0
551,-1,0,0
550,-1,0,0
549,-1,0,0
548,-1,0,0
547,-1,0,0
546,-1,0,0
545,-1,0,0
544,-1,0,0
543,-1,0,0
542,-1,0,0
541,-1,0,0
540,-1,0,0
539,-1,0,0
538,-1,0,0
537,-1,0,0
536,-1,0,0
535,-1,0,0
534,-1,0,0
533,-1,0,0
532,-1,0,0
455,25,2,12
414,16,1,12
413,25,2,23
412,27,2,13
411,25,1,8
410,24,3,16
409,20,2,11
330,-1,0,0
329,-1,0,0
328,-1,0,0
327,-1,0,0
326,26,2,20
325,26,2,21
324,25,1,2
323,-1,0,0
322,-1,0,0
321,-1,0,0
320,-1,0,0
319,-1,0,0
318,-1,0,0
317,-1,0,0
316,-1,0,0
315,-1,0,0
314,17,1,7
313,18,1,18
312,25,1,10
311,25,1,10
310,-1,0,0
