time,segment_id,speed,street,direction,from_street,to_street,length,street_heading,bus_count,message_count,hour,day_of_week,month,record_id,start_latitude,start_longitude,end_latitude,end_longitude,start_location,end_location,comments
2026-04-30T01:10:21.000,1183,-1,Sheridan,NB,Devon,Pratt,0.519240794275,N,0,0,1,5,4,1183-202604300610,41.9982075605,-87.6601728465,42.0055389804,-87.6607357537,"{'type': 'Point', 'coordinates': [-87.6601728465, 41.9982075605]}","{'type': 'Point', 'coordinates': [-87.6607357537, 42.0055389804]}",
2026-04-30T01:10:21.000,1184,-1,Sheridan,NB,Pratt,Touhy,0.519765416034,N,0,0,1,5,4,1184-202604300610,42.0055389804,-87.6607357537,42.0128288601,-87.6632694105,"{'type': 'Point', 'coordinates': [-87.6607357537, 42.0055389804]}","{'type': 'Point', 'coordinates': [-87.6632694105, 42.0128288601]}",
2026-04-30T01:10:21.000,1185,-1,Broadway,SB,Devon,Hollywood,0.882967917563,N,0,0,1,5,4,1185-202604300610,41.9982097226,-87.6605728465,41.9854635087,-87.6603094445,"{'type': 'Point', 'coordinates': [-87.6605728465, 41.9982097226]}","{'type': 'Point', 'coordinates': [-87.6603094445, 41.9854635087]}",
2026-04-30T01:10:21.000,1186,-1,Sheridan,SB,Pratt,Devon,0.519240794275,N,0,0,1,5,4,1186-202604300610,42.0055411356,-87.6611036606,41.9982097226,-87.6605728465,"{'type': 'Point', 'coordinates': [-87.6611036606, 42.0055411356]}","{'type': 'Point', 'coordinates': [-87.6605728465, 41.9982097226]}",
2026-04-30T01:10:21.000,1187,-1,Sheridan,SB,Touhy,Pratt,0.519765416034,N,0,0,1,5,4,1187-202604300610,42.0128310075,-87.6636373596,42.0055411356,-87.6611036606,"{'type': 'Point', 'coordinates': [-87.6636373596, 42.0128310075]}","{'type': 'Point', 'coordinates': [-87.6611036606, 42.0055411356]}",
2026-04-30T01:10:21.000,1188,-1,Clark,NB,Ashland,Ridge,0.155005646273,N,0,0,1,5,4,1188-202604300610,41.9867518859,-87.6695265292,41.9896973587,-87.6697997674,"{'type': 'Point', 'coordinates': [-87.6695265292, 41.9867518859]}","{'type': 'Point', 'coordinates': [-87.6697997674, 41.9896973587]}",
2026-04-30T01:10:21.000,1189,-1,Clark,SB,Ridge,Ashland,0.155005646273,N,0,0,1,5,4,1189-202604300610,41.9896994841,-87.6701675838,41.987541,-87.66971,"{'type': 'Point', 'coordinates': [-87.6701675838, 41.9896994841]}","{'type': 'Point', 'coordinates': [-87.66971, 41.987541]}",
2026-04-30T01:10:21.000,1192,-1,Dr Martin L King Jr,NB,24th,Cermak,0.254644034267,S,0,0,1,5,4,1192-202604300610,41.8493482767,-87.6181586591,41.8530007099,-87.619411,"{'type': 'Point', 'coordinates': [-87.6181586591, 41.8493482767]}","{'type': 'Point', 'coordinates': [-87.619411, 41.8530007099]}",
2026-04-30T01:10:21.000,1193,-1,Dr Martin L King Jr,SB,Cermak,24th,0.254644034267,S,0,0,1,5,4,1193-202604300610,41.8530029925,-87.6192241821,41.8493505614,-87.6185256664,"{'type': 'Point', 'coordinates': [-87.6192241821, 41.8530029925]}","{'type': 'Point', 'coordinates': [-87.6185256664, 41.8493505614]}",
2026-04-30T01:10:21.000,1211,-1,Halsted,NB,51st,47th,0.5,S,0,0,1,5,4,1211-202604300610,41.801585,-87.645156,41.808864,-87.645349,"{'type': 'Point', 'coordinates': [-87.645156, 41.801585]}","{'type': 'Point', 'coordinates': [-87.645349, 41.808864]}",
